Name,Date of Birth,Type of Parliamentarian,House of Commons,Senate,Riding/Senatorial Division,Province/Territory,Gender,Political Affiliation,Years of Service
"Vincent, Clément",1931-05-18,"MP (1962/06/18 - 1966/05/04)
","1962/06/18 - 1966/05/04
",NA,"Nicolet--Yamaska (1962/06/18 - 1966/05/04)
","Quebec
",Man,"Progressive Conservative Party (1962/06/18 - 1966/05/04)
","1417 days (3 years, 10 months, 17 days)"
"Vincent, Pierre H.",1955-04-02,"MP (1984/09/04 - 1993/10/24)
","1984/09/04 - 1993/10/24
",NA,"Trois-Rivières (1984/09/04 - 1993/10/24)
","Quebec
",Man,"Progressive Conservative Party (1984/09/04 - 1993/10/24)
","3338 days (9 years, 1 months, 21 days)"
"Vincent, Robert",1956-04-13,"MP (2004/06/28 - 2011/05/01)
","2004/06/28 - 2011/05/01
",NA,"Shefford (2004/06/28 - 2011/05/01)
","Quebec
",Man,"Bloc Québécois (2004/06/28 - 2011/05/01)
","2499 days (6 years, 10 months, 4 days)"
"Virani, Arif",1971-11-23,"MP (2015/10/19 - )
","2015/10/19 - 
",NA,"Parkdale--High Park (2015/10/19 - )
","Ontario
",Man,"Liberal Party of Canada (2015/10/19 - )
","3066 days (8 years, 4 months, 22 days)"
"Vis, Brad",NA,"MP (2019/10/21 - )
","2019/10/21 - 
",NA,"Mission--Matsqui--Fraser Canyon (2019/10/21 - )
","British Columbia
",Man,"Conservative Party of Canada (2019/10/21 - )
","1603 days (4 years, 4 months, 20 days)"
"Volpe, Giuseppe (Joseph)",1947-09-21,"MP (1988/11/21 - 2011/05/01)
","1988/11/21 - 2011/05/01
",NA,"Eglinton--Lawrence (1988/11/21 - 2011/05/01)
","Ontario
",Man,"Liberal Party of Canada (1988/11/21 - 2011/05/01)
","8197 days (22 years, 5 months, 10 days)"
"Waddell, Ian Gardiner",1942-11-21,"MP (1988/11/21 - 1993/10/24)
MP (1979/05/22 - 1988/11/20)
","1988/11/21 - 1993/10/24
1979/05/22 - 1988/11/20
",NA,"Port Moody--Coquitlam (1988/11/21 - 1993/10/24)
Vancouver Kingsway (1979/05/22 - 1988/11/20)
","British Columbia
British Columbia
",Man,"New Democratic Party (1979/05/22 - 1993/10/24)
","5270 days (14 years, 5 months, 5 days)"
"Wadds, Jean Casselman",1920-09-16,"MP (1958/09/29 - 1968/06/24)
","1958/09/29 - 1968/06/24
",NA,"Grenville--Dundas (1958/09/29 - 1968/06/24)
","Ontario
",Woman,"Progressive Conservative Party (1958/09/29 - 1968/06/24)
","3557 days (9 years, 8 months, 27 days)"
"Wagantall, Cathay",1956-03-07,"MP (2015/10/19 - )
","2015/10/19 - 
",NA,"Yorkton--Melville (2015/10/19 - )
","Saskatchewan
",Woman,"Conservative Party of Canada (2015/10/19 - )
","3066 days (8 years, 4 months, 22 days)"
"Wagner, Claude",1925-04-04,"MP (1972/10/30 - 1978/04/20)
Senator (1978/04/21 - 1979/07/11)
","1972/10/30 - 1978/04/20
","1978/04/21 - 1979/07/11
","Kennebec (1978/04/21 - 1979/07/11)
Saint-Hyacinthe (1972/10/30 - 1978/04/20)
","Quebec
Quebec
",Man,"Progressive Conservative Party (1972/10/30 - 1979/07/11)
","2446 days (6 years, 8 months, 12 days)"
"Wahn, Ian Grant",1916-04-18,"MP (1968/06/25 - 1972/10/29)
MP (1962/06/18 - 1968/06/24)
","1968/06/25 - 1972/10/29
1962/06/18 - 1968/06/24
",NA,"St. Paul's (1968/06/25 - 1972/10/29)
St. Paul's (1962/06/18 - 1968/06/24)
","Ontario
Ontario
",Man,"Liberal Party of Canada (1962/06/18 - 1972/10/29)
","3787 days (10 years, 4 months, 13 days)"
"Wakim, Arthur",1937-02-13,"MP (1979/05/22 - 1980/02/17)
","1979/05/22 - 1980/02/17
",NA,"Don Valley East (1979/05/22 - 1980/02/17)
","Ontario
",Man,"Progressive Conservative Party (1979/05/22 - 1980/02/17)
","272 days (8 months, 29 days)"
"Walker, David",1947-08-01,"MP (1988/11/21 - 1997/06/01)
","1988/11/21 - 1997/06/01
",NA,"Winnipeg North Centre (1988/11/21 - 1997/06/01)
","Manitoba
",Man,"Liberal Party of Canada (1988/11/21 - 1997/06/01)
","3115 days (8 years, 6 months, 10 days)"
"Walker, David James",1905-05-10,"MP (1957/06/10 - 1962/06/17)
Senator (1963/02/04 - 1989/09/30)
","1957/06/10 - 1962/06/17
","1963/02/04 - 1989/09/30
","Toronto (1963/02/04 - 1989/09/30)
Rosedale (1957/06/10 - 1962/06/17)
","Ontario
Ontario
",Man,"Progressive Conservative Party (1963/02/04 - 1989/09/30)
Progressive Conservative Party (1957/06/10 - 1962/06/17)
","11570 days (31 years, 8 months, 4 days)"
"Walker, James Edgar",1911-07-21,"MP (1962/06/18 - 1974/07/07)
","1962/06/18 - 1974/07/07
",NA,"York Centre (1962/06/18 - 1974/07/07)
","Ontario
",Man,"Liberal Party of Canada (1962/06/18 - 1974/07/07)
","4403 days (12 years, 20 days)"
"Wallace, John D.",1949-03-26,"Senator (2009/01/02 - 2017/02/01)
",NA,"2009/01/02 - 2017/02/01
","Rothesay (2009/01/02 - 2017/02/01)
","New Brunswick
",Man,"Non-affiliated (Independent Senators Group) (2016/12/02 - 2017/02/01)
Non-affiliated (2016/06/13 - 2016/12/01)
Independent (2015/11/19 - 2016/06/12)
Conservative Party of Canada (2009/01/02 - 2015/11/18)
","2953 days (8 years, 1 months, 1 days)"
"Wallace, Mike",1963-09-03,"MP (2006/01/23 - 2015/10/18)
","2006/01/23 - 2015/10/18
",NA,"Burlington (2006/01/23 - 2015/10/18)
","Ontario
",Man,"Conservative Party of Canada (2006/01/23 - 2015/10/18)
","3556 days (9 years, 8 months, 26 days)"
"Wallin, Pamela",NA,"Senator (2009/01/02 - )
",NA,"2009/01/02 - 
","Saskatchewan (2009/01/02 - )
","Saskatchewan
",Woman,"Canadian Senators Group (2019/11/04 - )
Independent Senators Group (2017/06/01 - 2019/11/03)
Non-affiliated (Independent Senators Group) (2016/12/02 - 2017/05/31)
Non-affiliated (2016/06/13 - 2016/12/01)
Independent (2013/05/17 - 2016/06/12)
Conservative Party of Canada (2009/01/02 - 2013/05/16)
","5547 days (15 years, 2 months, 7 days)"
"Wappel, Thomas (Tom) William",1950-02-09,"MP (1997/06/02 - 2008/10/13)
MP (1988/11/21 - 1997/06/01)
","1997/06/02 - 2008/10/13
1988/11/21 - 1997/06/01
",NA,"Scarborough Southwest (1997/06/02 - 2008/10/13)
Scarborough West (1988/11/21 - 1997/06/01)
","Ontario
Ontario
",Man,"Liberal Party of Canada (1988/11/21 - 2008/10/14)
","7267 days (19 years, 10 months, 23 days)"
"Warawa, Mark",1950-05-07,"MP (2015/10/19 - 2019/06/20)
MP (2004/06/28 - 2015/10/18)
","2015/10/19 - 2019/06/20
2004/06/28 - 2015/10/18
",NA,"Langley--Aldergrove (2015/10/19 - 2019/06/20)
Langley (2004/06/28 - 2015/10/18)
","British Columbia
British Columbia
",Man,"Conservative Party of Canada (2004/06/28 - 2019/06/20)
","5471 days (14 years, 11 months, 23 days)"
"Warkentin, Chris",1978-11-20,"MP (2015/10/19 - )
MP (2006/01/23 - 2015/10/18)
","2015/10/19 - 
2006/01/23 - 2015/10/18
",NA,"Grande Prairie--Mackenzie (2015/10/19 - )
Peace River (2006/01/23 - 2015/10/18)
","Alberta
Alberta
",Man,"Conservative Party of Canada (2006/01/23 - )
","6622 days (18 years, 1 months, 18 days)"
"Warner, Norman Melvin",1943-12-23,"MP (1984/09/04 - 1988/11/20)
","1984/09/04 - 1988/11/20
",NA,"Stormont--Dundas (1984/09/04 - 1988/11/20)
","Ontario
",Man,"Progressive Conservative Party (1984/09/04 - 1988/11/20)
","1539 days (4 years, 2 months, 17 days)"
"Wasylycia-Leis, Judy",1951-08-10,"MP (2004/06/28 - 2010/04/30)
MP (1997/06/02 - 2004/06/27)
","2004/06/28 - 2010/04/30
1997/06/02 - 2004/06/27
",NA,"Winnipeg North (2004/06/28 - 2010/04/30)
Winnipeg North Centre (1997/06/02 - 2004/06/27)
","Manitoba
Manitoba
",Woman,"New Democratic Party (1997/06/02 - 2010/04/30)
","4716 days (12 years, 10 months, 29 days)"
"Waters, Stanley Charles",1920-06-14,"Senator (1990/06/11 - 1991/09/25)
",NA,"1990/06/11 - 1991/09/25
","Alberta (1990/06/11 - 1991/09/25)
","Alberta
",Man,"Reform Party of Canada (1990/06/11 - 1991/09/25)
","472 days (1 years, 3 months, 16 days)"
"Watson, Ian",1934-04-10,"MP (1979/05/22 - 1984/09/03)
MP (1968/06/25 - 1979/05/21)
MP (1963/04/08 - 1968/06/24)
","1979/05/22 - 1984/09/03
1968/06/25 - 1979/05/21
1963/04/08 - 1968/06/24
",NA,"Châteauguay (1979/05/22 - 1984/09/03)
Laprairie (1968/06/25 - 1979/05/21)
Châteauguay--Huntingdon--Laprairie (1963/04/08 - 1968/06/24)
","Quebec
Quebec
Quebec
",Man,"Liberal Party of Canada (1963/04/08 - 1984/09/03)
","7820 days (21 years, 4 months, 28 days)"
"Watson, Jeff",1971-03-25,"MP (2004/06/28 - 2015/10/18)
","2004/06/28 - 2015/10/18
",NA,"Essex (2004/06/28 - 2015/10/18)
","Ontario
",Man,"Conservative Party of Canada (2004/06/28 - 2015/10/18)
","4130 days (11 years, 3 months, 21 days)"
"Watson, Lawrence E.",1917-10-31,"MP (1963/04/08 - 1968/06/24)
","1963/04/08 - 1968/06/24
",NA,"Assiniboia (1963/04/08 - 1968/06/24)
","Saskatchewan
",Man,"Progressive Conservative Party (1963/04/08 - 1968/06/24)
","1905 days (5 years, 2 months, 18 days)"
"Watt, Charlie",NA,"Senator (1984/01/16 - 2018/03/16)
",NA,"1984/01/16 - 2018/03/16
","Inkerman (1984/01/16 - 2018/03/16)
","Quebec
",Man,"Liberal Party of Canada (1984/01/16 - 2018/03/16)
","12479 days (34 years, 1 months,"
"Watts, Dianne L.",1959-10-30,"MP (2015/10/19 - 2017/09/29)
","2015/10/19 - 2017/09/29
",NA,"South Surrey--White Rock (2015/10/19 - 2017/09/29)
","British Columbia
",Woman,"Conservative Party of Canada (2015/10/19 - 2017/09/29)
","712 days (1 years, 11 months, 12 days)"
"Waugh, Kevin",1956-06-09,"MP (2015/10/19 - )
","2015/10/19 - 
",NA,"Saskatoon--Grasswood (2015/10/19 - )
","Saskatchewan
",Man,"Conservative Party of Canada (2015/10/19 - )
","3066 days (8 years, 4 months, 22 days)"
"Wayne, Elsie Eleanore",1932-04-20,"MP (1993/10/25 - 2004/06/27)
","1993/10/25 - 2004/06/27
",NA,"Saint John (1993/10/25 - 2004/06/27)
","New Brunswick
",Woman,"Conservative Party of Canada (2004/02/02 - 2004/06/27)
Progressive Conservative Party (1993/10/25 - 2004/02/01)
","3899 days (10 years, 8 months, 4 days)"
"Weatherhead, David Bennington",1928-02-19,"MP (1980/02/18 - 1984/09/03)
MP (1968/06/25 - 1972/10/29)
","1980/02/18 - 1984/09/03
1968/06/25 - 1972/10/29
",NA,"Scarborough West (1980/02/18 - 1984/09/03)
Scarborough West (1968/06/25 - 1972/10/29)
","Ontario
Ontario
",Man,"Liberal Party of Canada (1980/02/18 - 1984/09/03)
Liberal Party of Canada (1968/06/25 - 1972/10/29)
","3248 days (8 years, 10 months, 22 days)"
"Webb, Roderick Arthur Ennis",1910-07-22,"MP (1959/10/05 - 1968/06/24)
","1959/10/05 - 1968/06/24
",NA,"Hastings--Frontenac (1959/10/05 - 1968/06/24)
","Ontario
",Man,"Progressive Conservative Party (1959/10/05 - 1968/06/25)
","3186 days (8 years, 8 months, 21 days)"
"Webber, Len",1960-11-10,"MP (2015/10/19 - )
","2015/10/19 - 
",NA,"Calgary Confederation (2015/10/19 - )
","Alberta
",Man,"Conservative Party of Canada (2015/10/19 - )
","3066 days (8 years, 4 months, 22 days)"
"Webster, Arnold Alexander",1899-03-09,"MP (1962/06/18 - 1965/11/07)
","1962/06/18 - 1965/11/07
",NA,"Vancouver Kingsway (1962/06/18 - 1965/11/07)
","British Columbia
",Man,"New Democratic Party (1961/08/03 - 1965/11/07)
","1239 days (3 years, 4 months, 21 days)"
"Weichel, Oscar William",1894-01-26,"MP (1958/03/31 - 1965/11/07)
","1958/03/31 - 1965/11/07
",NA,"Waterloo North (1958/03/31 - 1965/11/07)
","Ontario
",Man,"Progressive Conservative Party (1958/03/31 - 1965/11/07)
","2779 days (7 years, 7 months, 9 days)"
"Weiler, Patrick",1986-04-30,"MP (2019/10/21 - )
","2019/10/21 - 
",NA,"West Vancouver--Sunshine Coast--Sea to Sky Country (2019/10/21 - )
","British Columbia
",Man,"Liberal Party of Canada (2019/10/21 - )
","1603 days (4 years, 4 months, 20 days)"
"Weiner, Gérard (Gerry)",1933-06-26,"MP (1988/11/21 - 1993/10/24)
MP (1984/09/04 - 1988/11/20)
","1988/11/21 - 1993/10/24
1984/09/04 - 1988/11/20
",NA,"Pierrefonds--Dollard (1988/11/21 - 1993/10/24)
Dollard (1984/09/04 - 1988/11/20)
","Quebec
Quebec
",Man,"Progressive Conservative Party (1984/09/04 - 1993/10/24)
","3338 days (9 years, 1 months, 21 days)"
"Weir, Erin",1982,"MP (2015/10/19 - 2019/10/20)
","2015/10/19 - 2019/10/20
",NA,"Regina--Lewvan (2015/10/19 - 2019/10/20)
","Saskatchewan
",Man,"Co-operative Commonwealth Federation (2018/05/11 - 2019/10/20)
Independent (2018/05/03 - 2018/05/10)
New Democratic Party (2015/10/19 - 2018/05/02)
","1463 days (4 years, 2 days)"
"Welch, Frank Corbett",1900-07-14,"Senator (1962/09/25 - 1975/07/14)
",NA,"1962/09/25 - 1975/07/14
","King's (1962/09/25 - 1975/07/14)
","Nova Scotia
",Man,"Progressive Conservative Party (1962/09/25 - 1975/07/14)
","4676 days (12 years, 9 months, 19 days)"
"Wells, David M.",NA,"Senator (2013/01/25 - )
",NA,"2013/01/25 - 
","Newfoundland and Labrador (2013/01/25 - )
","Newfoundland and Labrador
",Man,"Conservative Party of Canada (2013/01/25 - )
","4063 days (11 years, 1 months, 15 days)"
"Wells, Derek",1946-11-28,"MP (1993/10/25 - 1997/06/01)
","1993/10/25 - 1997/06/01
",NA,"South Shore (1993/10/25 - 1997/06/01)
","Nova Scotia
",Man,"Liberal Party of Canada (1993/10/25 - 1997/06/01)
","1316 days (3 years, 7 months, 7 days)"
"Wenman, Robert Lloyd",1940-06-19,"MP (1974/07/08 - 1993/10/24)
","1974/07/08 - 1993/10/24
",NA,"Fraser Valley West (1974/07/08 - 1993/10/24)
","British Columbia
",Man,"Progressive Conservative Party (1974/07/08 - 1993/10/25)
","7049 days (19 years, 3 months, 18 days)"
"Weston, John",1958-04-19,"MP (2008/10/14 - 2015/10/18)
","2008/10/14 - 2015/10/18
",NA,"West Vancouver--Sunshine Coast--Sea to Sky Country (2008/10/14 - 2015/10/18)
","British Columbia
",Man,"Conservative Party of Canada (2008/10/14 - 2015/10/18)
","2561 days (7 years, 4 days)"
"Weston, Rodney",1964-03-28,"MP (2008/10/14 - 2015/10/18)
","2008/10/14 - 2015/10/18
",NA,"Saint John (2008/10/14 - 2015/10/18)
","New Brunswick
",Man,"Conservative Party of Canada (2008/10/14 - 2015/10/18)
","2561 days (7 years, 4 days)"
"Wetston, Howard",NA,"Senator (2016/11/10 - 2022/06/03)
",NA,"2016/11/10 - 2022/06/03
","Ontario (2016/11/10 - 2022/06/03)
","Ontario
",Man,"Independent Senators Group (2017/06/01 - 2022/06/03)
Non-affiliated (Independent Senators Group) (2016/12/02 - 2017/05/31)
Non-affiliated (2016/11/10 - 2016/12/01)
","2032 days (5 years, 6 months, 23 days)"
"Whalen, Nick",1973-06-06,"MP (2015/10/19 - 2019/10/20)
","2015/10/19 - 2019/10/20
",NA,"St. John's East (2015/10/19 - 2019/10/20)
","Newfoundland and Labrador
",Man,"Liberal Party of Canada (2015/10/19 - 2019/10/20)
","1463 days (4 years, 2 days)"
"Whelan, Eugene",1924-07-11,"MP (1972/10/30 - 1984/09/03)
MP (1968/06/25 - 1972/10/29)
MP (1962/06/18 - 1968/06/24)
Senator (1996/08/09 - 1999/07/11)
","1972/10/30 - 1984/09/03
1968/06/25 - 1972/10/29
1962/06/18 - 1968/06/24
","1996/08/09 - 1999/07/11
","South Western Ontario (1996/08/09 - 1999/07/11)
Essex--Windsor (1972/10/30 - 1984/09/03)
Essex (1968/06/25 - 1972/10/29)
Essex South (1962/06/18 - 1968/06/24)
","Ontario
Ontario
Ontario
Ontario
",Man,"Liberal Party of Canada (1996/08/09 - 1999/07/11)
Liberal Party of Canada (1962/06/18 - 1984/09/03)
","9181 days (25 years, 1 months, 20 days)"
"Whelan, Susan",1963-05-05,"MP (1997/06/02 - 2004/06/27)
MP (1993/10/25 - 1997/06/01)
","1997/06/02 - 2004/06/27
1993/10/25 - 1997/06/01
",NA,"Essex (1997/06/02 - 2004/06/27)
Essex--Windsor (1993/10/25 - 1997/06/01)
","Ontario
Ontario
",Woman,"Liberal Party of Canada (1993/10/25 - 2004/06/27)
","3899 days (10 years, 8 months, 4 days)"
"Whicher, Ross Mackenzie",1918-02-13,"MP (1968/06/25 - 1974/07/07)
","1968/06/25 - 1974/07/07
",NA,"Bruce (1968/06/25 - 1974/07/07)
","Ontario
",Man,"Liberal Party of Canada (1968/06/25 - 1974/07/08)
","2204 days (6 years, 13 days)"
"White, Brian",1951-01-17,"MP (1984/09/04 - 1993/10/24)
","1984/09/04 - 1993/10/24
",NA,"Dauphin--Swan River (1984/09/04 - 1993/10/24)
","Manitoba
",Man,"Progressive Conservative Party (1984/09/04 - 1993/10/24)
","3338 days (9 years, 1 months, 21 days)"
"White, George Stanley",1897-11-17,"MP (1953/08/10 - 1957/09/19)
MP (1940/03/26 - 1953/08/09)
Senator (1957/09/20 - 1972/11/17)
","1953/08/10 - 1957/09/19
1940/03/26 - 1953/08/09
","1957/09/20 - 1972/11/17
","Hastings-Frontenac (1957/09/20 - 1972/11/17)
Hastings--Frontenac (1953/08/10 - 1957/09/19)
Hastings--Peterborough (1940/03/26 - 1953/08/09)
","Ontario
Ontario
Ontario
",Man,"Progressive Conservative Party (1945/06/11 - 1972/11/17)
National Government (1940/03/26 - 1945/06/10)
","11925 days (32 years, 7 months, 24 days)"
"White, Randy A.",1948-09-03,"MP (2004/06/28 - 2006/01/22)
MP (1997/06/02 - 2004/06/27)
MP (1993/10/25 - 1997/06/01)
","2004/06/28 - 2006/01/22
1997/06/02 - 2004/06/27
1993/10/25 - 1997/06/01
",NA,"Abbotsford (2004/06/28 - 2006/01/22)
Langley--Abbotsford (1997/06/02 - 2004/06/27)
Fraser Valley West (1993/10/25 - 1997/06/01)
","British Columbia
British Columbia
British Columbia
",Man,"Conservative Party of Canada (2003/12/23 - 2006/01/22)
Canadian Reform Conservative Alliance (2000/03/27 - 2003/12/22)
Reform Party of Canada (1993/10/25 - 2000/03/26)
","4473 days (12 years, 2 months, 29 days)"
"White, Ted",1949-04-18,"MP (1993/10/25 - 2004/06/27)
","1993/10/25 - 2004/06/27
",NA,"North Vancouver (1993/10/25 - 2004/06/27)
","British Columbia
",Man,"Conservative Party of Canada (2003/12/23 - 2004/06/27)
Canadian Reform Conservative Alliance (2000/03/27 - 2003/12/22)
Reform Party of Canada (1993/10/25 - 2000/03/26)
","3899 days (10 years, 8 months, 4 days)"
"White, Vernon",NA,"Senator (2012/02/20 - 2022/10/02)
",NA,"2012/02/20 - 2022/10/02
","Ontario (2012/02/20 - 2022/10/02)
","Ontario
",Man,"Canadian Senators Group (2019/11/04 - 2022/10/02)
Conservative Party of Canada (2012/02/20 - 2019/11/03)
","3878 days (10 years, 7 months, 13 days)"
"Whiteway, Dean Waldon",1944-07-20,"MP (1974/07/08 - 1979/05/21)
","1974/07/08 - 1979/05/21
",NA,"Selkirk (1974/07/08 - 1979/05/21)
","Manitoba
",Man,"Progressive Conservative Party (1974/07/08 - 1979/05/21)
","1779 days (4 years, 10 months, 14 days)"
"Whiting, Rutherford (Rud) Lester",1930-07-30,"MP (1968/06/25 - 1972/10/29)
","1968/06/25 - 1972/10/29
",NA,"Halton (1968/06/25 - 1972/10/29)
","Ontario
",Man,"Liberal Party of Canada (1968/06/25 - 1972/10/29)
","1588 days (4 years, 4 months, 5 days)"
"Whittaker, George H.",1919-12-22,"MP (1979/05/22 - 1980/02/17)
MP (1972/10/30 - 1979/05/21)
","1979/05/22 - 1980/02/17
1972/10/30 - 1979/05/21
",NA,"Okanagan North (1979/05/22 - 1980/02/17)
Okanagan Boundary (1972/10/30 - 1979/05/21)
","British Columbia
British Columbia
",Man,"Progressive Conservative Party (1972/10/30 - 1980/02/17)
","2667 days (7 years, 3 months, 19 days)"
"Whittaker, John R. (Jack)",1944-11-13,"MP (1988/11/21 - 1993/10/24)
","1988/11/21 - 1993/10/24
",NA,"Okanagan--Similkameen--Merritt (1988/11/21 - 1993/10/24)
","British Columbia
",Man,"New Democratic Party (1988/11/21 - 1993/10/24)
","1799 days (4 years, 11 months, 3 days)"
"Wiebe, John (Jack)",1936-05-31,"Senator (2000/04/07 - 2004/01/31)
",NA,"2000/04/07 - 2004/01/31
","Saskatchewan (2000/04/07 - 2004/01/31)
","Saskatchewan
",Man,"Liberal Party of Canada (2000/04/07 - 2004/01/31)
","1395 days (3 years, 9 months, 25 days)"
"Wightman, William Hannum",1929-04-23,"MP (1979/05/22 - 1980/02/17)
","1979/05/22 - 1980/02/17
",NA,"Scarborough West (1979/05/22 - 1980/02/17)
","Ontario
",Man,"Progressive Conservative Party (1979/05/22 - 1980/02/17)
","272 days (8 months, 29 days)"
"Wilbee, Godfrey Stanley (Stan)",1932-05-12,"MP (1988/11/21 - 1993/10/24)
","1988/11/21 - 1993/10/24
",NA,"Delta (1988/11/21 - 1993/10/24)
","British Columbia
",Man,"Progressive Conservative Party (1988/11/21 - 1993/10/24)
","1799 days (4 years, 11 months, 3 days)"
"Wilfert, Bryon",1952-07-14,"MP (2004/06/28 - 2011/05/01)
MP (1997/06/02 - 2004/06/27)
","2004/06/28 - 2011/05/01
1997/06/02 - 2004/06/27
",NA,"Richmond Hill (2004/06/28 - 2011/05/01)
Oak Ridges (1997/06/02 - 2004/06/27)
","Ontario
Ontario
",Man,"Liberal Party of Canada (1997/06/02 - 2011/05/01)
","5082 days (13 years, 10 months, 30 days)"
"Wilkinson, Jonathan",1965,"MP (2015/10/19 - )
","2015/10/19 - 
",NA,"North Vancouver (2015/10/19 - )
","British Columbia
",Man,"Liberal Party of Canada (2015/10/19 - )
","3066 days (8 years, 4 months, 22 days)"
"Wilks, David",1959-09-28,"MP (2011/05/02 - 2015/10/18)
","2011/05/02 - 2015/10/18
",NA,"Kootenay--Columbia (2011/05/02 - 2015/10/18)
","British Columbia
",Man,"Conservative Party of Canada (2011/05/02 - 2015/10/18)
","1631 days (4 years, 5 months, 18 days)"
"Williams, Guy R.",1907-10-07,"Senator (1971/12/09 - 1982/10/07)
",NA,"1971/12/09 - 1982/10/07
","Richmond (1971/12/09 - 1982/10/07)
","British Columbia
",Man,"Liberal Party of Canada (1971/12/09 - 1982/10/07)
","3956 days (10 years, 9 months, 30 days)"
"Williams, John G.",1946-12-31,"MP (2004/06/28 - 2008/10/13)
MP (1993/10/25 - 2004/06/27)
","2004/06/28 - 2008/10/13
1993/10/25 - 2004/06/27
",NA,"Edmonton--St. Albert (2004/06/28 - 2008/10/13)
St. Albert (1993/10/25 - 2004/06/27)
","Alberta
Alberta
",Man,"Conservative Party of Canada (2003/12/23 - 2008/10/13)
Canadian Reform Conservative Alliance (2000/03/27 - 2003/12/22)
Reform Party of Canada (1993/10/25 - 2000/03/26)
","5468 days (14 years, 11 months, 20 days)"
"Williamson, John",1970-01-30,"MP (2019/10/21 - )
MP (2011/05/02 - 2015/10/18)
","2019/10/21 - 
2011/05/02 - 2015/10/18
",NA,"New Brunswick Southwest (2019/10/21 - )
New Brunswick Southwest (2011/05/02 - 2015/10/18)
","New Brunswick
New Brunswick
",Man,"Conservative Party of Canada (2019/10/21 - )
Conservative Party of Canada (2011/05/02 - 2015/10/18)
","3234 days (8 years, 10 months, 8 days)"
"Willis, Harry Albert",1904-07-11,"Senator (1962/06/15 - 1972/03/23)
",NA,"1962/06/15 - 1972/03/23
","Peel (1962/06/15 - 1972/03/23)
","Ontario
",Man,"Progressive Conservative Party (1962/06/15 - 1972/03/23)
","3570 days (9 years, 9 months, 9 days)"
